key,ko,en,fr,it,de,es,ja,pt-BR,ru,zh-Hans
p,형이 직접 땅속에 폭탄을 심어주시는 거예요?,You're going to plant bombs underground yourself?,Tu vas enterrer toi-même des bombes sous terre ?,Quindi piazzerai tu stesso le bombe sottoterra?,Du vergräbst die Bomben selbst unter der Erde?,¿Vas a poner las bombas bajo tierra tú mismo?,兄ちゃんが自分で地中に爆弾を埋めるんですか？,Você mesmo vai plantar bombas no subsolo?,Ты сам будешь закапывать бомбы под землёй?,大哥你要亲自把炸弹埋到地下吗？
b,당연하지! 네가 파다가 '어? 폭탄이다!' 싶으면,"Of course! When you're digging and think, 'Huh? A bomb!'",Évidemment ! Quand tu creuseras et que tu penseras : 'Hein ? Une bombe !',Certo! Quando stai scavando e pensi: 'Eh? Una bomba!',Natürlich! Wenn du beim Graben denkst: 'Hä? Eine Bombe!',¡Claro! Cuando estés excavando y pienses: '¿Eh? ¡Una bomba!',当たり前だろ！掘ってて『あれ？爆弾だ！』って思ったら,Claro! Quando estiver cavando e pensar: 'Ué? Uma bomba!',Конечно! Когда будешь копать и подумаешь: 'О? Бомба!',当然了！等你挖着挖着发现“咦？炸弹！”的时候
b,그냥 터뜨려버려. 단단한 흙바닥 정도는 시원하게 들춰낼 테니까.,Just blow it up. It'll blast through hard ground with ease.,Fais-la exploser. Ça pulvérisera facilement les sols les plus durs.,Falla esplodere e basta. Anche il terreno più duro volerà via facilmente.,Zünd sie einfach. Selbst harter Boden wird mühelos weggesprengt.,Simplemente hazla explotar. Volará hasta el suelo más duro.,そのまま爆発させちまえ。硬い地面くらいなら気持ちよく吹き飛ばせるからな。,É só explodir. Até o chão mais duro vai pelos ares facilmente.,Просто взрывай её. Даже твёрдую землю разнесёт без проблем.,直接引爆就行了。再硬的土地也能轻松炸开。
p,"우와, 그럼 주변이 다 날아가는 거예요?","Whoa, so everything around it gets blown away?","Waouh, alors tout autour sera soufflé ?","Wow, quindi tutto intorno esploderà?","Wow, dann wird alles drumherum weggesprengt?",¡Guau! ¿Entonces todo alrededor sale volando?,うわあ、じゃあ周り全部吹き飛ぶんですか？,"Uau, então tudo ao redor explode?","Ого, значит всё вокруг разнесёт?","哇, 那周围都会被炸飞吗？"
p,엄청 큰 암벽 같은 것도요?,Even huge rock walls too?,Même d'énormes parois rocheuses ?,Anche enormi pareti rocciose?,Sogar riesige Felswände?,¿Incluso enormes paredes de roca?,すごく大きな岩壁とかもですか？,Até paredões enormes de pedra?,Даже огромные каменные стены?,连特别巨大的岩壁也行吗？
b,"아니, 그건 절대 안 돼!","Nope, absolutely not!","Non, ça, impossible !","No, quello assolutamente no!","Nein, auf keinen Fall!","¡No, eso jamás!",いや、それは絶対無理だ！,"Não, isso definitivamente não!","Нет, это точно невозможно!","不, 那绝对不行！"
b,장애물 같은 건 내 최고의 폭탄으로도 못 부숴!,Even my best bombs can't destroy obstacles like that!,Même mes meilleures bombes ne peuvent pas détruire ce genre d'obstacles !,Nemmeno le mie migliori bombe possono distruggere ostacoli del genere!,Selbst meine besten Bomben können solche Hindernisse nicht zerstören!,¡Ni mis mejores bombas pueden destruir obstáculos así!,ああいう障害物は俺の最高の爆弾でも壊せないんだ！,Nem minhas melhores bombas conseguem destruir obstáculos assim!,Даже мои лучшие бомбы не смогут разрушить такие препятствия!,那种障碍物就算用我最厉害的炸弹也炸不坏！
p,"에이, 그럼 장애물 옆에서 터지면 폭탄이 아깝잖아요.","Aw, then it's a waste if a bomb explodes next to an obstacle.","Eh, alors ce serait du gâchis si une bombe explosait à côté d'un obstacle.","Eh, allora sarebbe uno spreco far esplodere una bomba vicino a un ostacolo.","Ach, dann wäre es doch Verschwendung, wenn eine Bombe neben einem Hindernis explodiert.","Ah, entonces sería un desperdicio si explota junto a un obstáculo.",ええー、じゃあ障害物の横で爆発したらもったいないじゃないですか。,"Ah, então seria desperdício explodir uma bomba ao lado de um obstáculo.","Эх, тогда будет жалко, если бомба взорвётся рядом с препятствием.","诶, 那要是在障碍物旁边爆炸, 不就浪费了吗？"
b,"가끔은 장애물 옆에 폭탄이 묻혀 있을 수도 있지만, 어쩌겠어! 운에 맡겨야지.","Sometimes bombs might be buried next to obstacles, but what can you do? Leave it to luck.","Parfois, des bombes seront enterrées près d'obstacles, mais que veux-tu y faire ? Il faut compter sur la chance.","A volte le bombe possono essere sepolte vicino agli ostacoli, ma che ci vuoi fare? Dipende dalla fortuna.","Manchmal liegen Bomben neben Hindernissen vergraben, aber was soll's? Das ist Glückssache.","A veces habrá bombas enterradas junto a obstáculos, pero qué se le va a hacer. ¡Depende de la suerte!",たまには障害物の横に爆弾が埋まってることもあるけど、そこは運任せだな！,"Às vezes pode ter bombas enterradas perto de obstáculos, mas fazer o quê? É questão de sorte.","Иногда бомбы могут оказаться рядом с препятствиями, но ничего не поделаешь. Всё зависит от удачи.","有时候炸弹可能会埋在障碍物旁边, 不过也没办法, 只能看运气了。"
b,대신 주변의 파낼 수 있는 흙들은 다 날려버릴 테니까 너무 아쉬워하진 마!,"But it'll still blow away all the diggable dirt nearby, so don't feel too bad about it!","Mais ça fera quand même exploser toute la terre autour que tu peux creuser, alors ne sois pas trop déçu !","Però spazzerà via tutta la terra scavabile intorno, quindi non rimanerci troppo male!","Aber die ganze grabbare Erde in der Nähe wird trotzdem weggesprengt, also sei nicht zu enttäuscht!","Pero igual hará volar toda la tierra excavable alrededor, ¡así que no te desanimes demasiado!",その代わり、周りの掘れる土は全部吹き飛ばしてくれるから、そんなに気にするな！,"Mas ela ainda vai explodir toda a terra escavável ao redor, então não fique tão chateado!","Зато вся земля вокруг, которую можно копать, всё равно разлетится, так что не расстраивайся!","不过周围那些能挖开的土还是会全炸飞, 所以别太可惜啦！"
p,"아하, 폭탄이 터져도 안 부서지는 건 그냥 놔둬야겠네요.","I see, so if something doesn't break even after an explosion, I should just leave it alone.","Je vois, donc si quelque chose ne casse pas après une explosion, il vaut mieux le laisser tranquille.","Capisco, quindi se qualcosa non si rompe nemmeno dopo un'esplosione, dovrò lasciarlo stare.","Verstehe, also sollte ich Dinge, die selbst nach einer Explosion nicht kaputtgehen, einfach in Ruhe lassen.","Ya veo, entonces si algo no se rompe ni con una explosión, simplemente debo dejarlo.",なるほど、爆発しても壊れないものはそのままにしておけばいいんですね。,"Entendi, então se algo não quebrar nem depois da explosão, é melhor deixar quieto.","Понятно, если что-то не ломается даже после взрыва, значит нужно просто оставить это.","原来如此, 如果连爆炸都炸不坏, 那就只能放着不管了。"
p,얼른 재료 가져올게요!,I'll go get the materials right away!,Je vais vite aller chercher les matériaux !,Andrò subito a prendere i materiali!,Ich hole sofort die Materialien!,¡Iré a traer los materiales enseguida!,すぐ材料を集めてきます！,Vou buscar os materiais agora mesmo!,Я сейчас же принесу материалы!,我这就去把材料带过来！
T,**,**,**,**,**,**,**,**,**,**





T,********************************************9. 쿠로와의 조우*******************************************
p,어? 저기 입구에 까마귀가 앉아있네.,Huh? There's a crow sitting by the entrance.,Hein ? Il y a un corbeau assis à l'entrée.,Eh? C'è un corvo seduto all'ingresso.,Huh? Dort sitzt eine Krähe am Eingang.,¿Eh? Hay un cuervo sentado en la entrada.,あれ？入口のところにカラスがいる。,Hã? Tem um corvo sentado na entrada.,Хм? У входа сидит ворона.,咦？入口那边停着一只乌鸦。
p,너도 반짝이는 광석을 좋아하니?,Do you like shiny ores too?,"Toi aussi, tu aimes les minerais brillants ?",Ti piacciono anche a te i minerali luccicanti?,Magst du auch glänzende Erze?,¿A ti también te gustan los minerales brillantes?,君もキラキラした鉱石が好きなの？,Você também gosta de minérios brilhantes?,Тебе тоже нравятся блестящие руды?,你也喜欢闪闪发亮的矿石吗？
c,(광석을 발톱으로 움켜쥐며) 당연하지. 변하지 않는 건 이것뿐이니까.,(Gripping an ore with its claws) Of course. These are the only things that never change.,(Saisissant un minerai avec ses griffes) Bien sûr. Ce sont les seules choses qui ne changent jamais.,(Afferrando un minerale con gli artigli) Certo. Sono le uniche cose che non cambiano mai.,"(Packt ein Erz mit den Krallen) Natürlich. Das sind die einzigen Dinge, die sich nie verändern.",(Sujetando un mineral con las garras) Claro. Son las únicas cosas que nunca cambian.,（鉱石を爪で掴みながら）当然だ。変わらないのはこれだけだからな。,(Segurando um minério com as garras) Claro. Essas são as únicas coisas que nunca mudam.,(Сжимая руду когтями) Конечно. Только они никогда не меняются.,（用爪子抓住矿石）当然。只有这种东西是不会改变的。
c,(광석을 굴려보며) 사람도 마을도 결국 변하거든.,(Rolling the ore around) People and villages always change in the end.,(Faisant rouler le minerai) Les gens et les villages finissent toujours par changer.,(Facendo rotolare il minerale) Persone e villaggi alla fine cambiano sempre.,(Lässt das Erz rollen) Menschen und Dörfer verändern sich irgendwann immer.,(Haciendo rodar el mineral) La gente y los pueblos siempre cambian al final.,（鉱石を転がしながら）人も村も、結局は変わっていくからな。,(Rolando o minério) Pessoas e vilas acabam mudando no fim.,(Перекатывая руду) Люди и деревни в конце концов меняются.,"（摆弄着矿石）人也好, 村子也好, 终究都会改变。"
p,와! 까마귀가 말을 하네?,Whoa! The crow can talk?,Waouh ! Le corbeau parle ?,Wow! Il corvo parla?,Wow! Die Krähe kann sprechen?,¡Guau! ¿El cuervo puede hablar?,わあ！カラスが喋った！？,Uau! O corvo fala?,Ого! Ворона разговаривает?,哇！乌鸦居然会说话？
c,놀라긴. 난 마을들을 돌며 반짝이는 걸 바꿔주는 쿠로라고 한다.,"No need to be surprised. I'm Kuro, the one who travels between villages trading shiny things.","Pas besoin d'être surpris. Je suis Kuro, celui qui voyage entre les villages pour échanger des objets brillants.",Non c'è da stupirsi. Mi chiamo Kuro e viaggio tra i villaggi scambiando cose luccicanti.,"Nicht so überrascht. Ich bin Kuro und reise zwischen Dörfern umher, um glänzende Dinge zu tauschen.","No te sorprendas tanto. Soy Kuro, viajo entre pueblos intercambiando cosas brillantes.",そんなに驚くな。俺は村々を巡って輝くものを交換しているクロウだ。,"Não precisa se assustar. Sou Kuro, viajo entre vilas trocando coisas brilhantes.","Нечего удивляться. Я Куро, странствую по деревням и обмениваю блестящие вещи.","别那么惊讶。我叫库洛, 是在各个村庄间游走, 交换闪亮东西的家伙。"
c,"그런데 꼬마야, 네 팔... 참 정교하게도 만들어졌네.","But kid, your arm... it's been crafted quite precisely.","Mais dis-moi, petit, ton bras... il est fabriqué avec une précision remarquable.","Ma ragazzino, il tuo braccio... è stato costruito davvero con precisione.","Aber Kleiner, dein Arm... er ist erstaunlich präzise gefertigt.","Pero oye, chico, tu brazo... está hecho con una precisión increíble.",ところで坊や、その腕...ずいぶん精巧に作られてるな。,"Mas garoto, seu braço... foi feito com uma precisão impressionante.","Но, мальчик, твоя рука... сделана очень искусно.","不过小鬼, 你的手臂……做得还真是精巧啊。"
p,제 팔이요? 조금 튼튼하긴 하죠! 마을 어른들이 저보고 일 잘한다고 칭찬해 주세요.,My arm? It is pretty sturdy! The adults in the village always praise me for working hard.,Mon bras ? Il est plutôt solide ! Les adultes du village me félicitent toujours pour mon travail.,"Il mio braccio? Beh, è piuttosto robusto! Gli adulti del villaggio mi lodano sempre perché lavoro bene.",Mein Arm? Er ist ziemlich robust! Die Erwachsenen im Dorf loben mich immer für meine gute Arbeit.,¿Mi brazo? ¡Sí que es fuerte! Los adultos del pueblo siempre me elogian por trabajar bien.,僕の腕ですか？ちょっと丈夫なんです！村のみんなにも働き者だって褒められるんですよ。,Meu braço? Ele é bem resistente! Os adultos da vila sempre elogiam meu trabalho.,"Моя рука? Ну, она довольно крепкая! Взрослые в деревне всегда хвалят меня за работу.",我的手臂吗？是挺结实的！村里的大人们总夸我很能干。
c,"(비웃듯 까악거리며) 칭찬이라... 하긴, 아껴야 나중에 쓸모가 있겠지.","(Caws mockingly) Praise, huh... Well, I suppose they'd want to preserve something useful for later.","(Croasse d'un air moqueur) Des compliments, hein... Eh bien, il faut préserver ce qui sera utile plus tard.","(Gracchiando con tono beffardo) Complimenti, eh... Beh, immagino che vogliano conservare qualcosa di utile per dopo.","(Krächzt spöttisch) Lob, hm... Nun ja, etwas Nützliches hebt man sich eben für später auf.","(Grazna burlonamente) ¿Elogios, eh?... Bueno, supongo que quieren conservar algo útil para más tarde.",（嘲るようにカァと鳴きながら）褒め言葉か...まあ、後で使うなら大事にするだろうな。,"(Grasnando de forma zombeteira) Elogios, hein... Bem, faz sentido guardar algo útil para depois.","(Насмешливо каркает) Хвалят, значит... Ну, полезные вещи обычно берегут на потом.","（发出嘲讽般的叫声）夸奖吗……也是, 毕竟得留到以后派上用场。"
p,쓸모라니요? 전 광산 파는 게 제일 즐거운걸요!,Useful? I just love digging in the mine the most!,"Utile ? Moi, ce que j'aime le plus, c'est creuser dans la mine !",Utile? A me piace semplicemente scavare nella miniera!,Nützlich? Ich grabe einfach am liebsten in der Mine!,¿Útil? ¡A mí lo que más me gusta es cavar en la mina!,役に立つって？僕は鉱山を掘るのが一番楽しいんですよ！,Útil? Eu só adoro cavar na mina!,Полезный? Мне просто больше всего нравится копать в шахте!,派上用场？我最喜欢的就是在矿山里挖矿了！
c,"그래, 열심히 파렴. 마을 사람들이 널 그렇게 애지중지하는 데는 다 이유가 있을 테니.","Yes, keep digging hard. There's surely a reason the villagers treasure you so much.","Oui, continue de creuser avec ardeur. Les villageois ont sûrement leurs raisons de tant te chérir.","Già, continua pure a scavare con impegno. Ci sarà sicuramente un motivo se gli abitanti del villaggio ti trattano con tanta cura.","Ja, grab nur fleißig weiter. Es gibt sicher einen Grund, warum die Dorfbewohner dich so sehr behüten.","Sí, sigue cavando con ganas. Seguro que hay una razón por la que los aldeanos te cuidan tanto.",そうか、せいぜい頑張って掘るんだな。村の連中がお前をそこまで大事にするのにも理由があるんだろう。,"Sim, continue cavando bastante. Deve haver um motivo para os moradores da vila cuidarem tanto de você.","Да, копай усерднее. Наверняка есть причина, почему жители деревни так тебя берегут.","是吗, 那就继续努力挖吧。村里人那么宝贝你, 肯定是有原因的。"
p,네? 그게 무슨 뜻이에요?,Huh? What do you mean by that?,Hein ? Qu'est-ce que ça veut dire ?,Eh? Che cosa vuoi dire?,Hä? Was soll das heißen?,¿Eh? ¿Qué quieres decir con eso?,え？それってどういう意味ですか？,Hã? O que isso quer dizer?,А? Что это значит?,诶？那是什么意思？
c,글쎄. 맛있는 먹잇감일수록 끝까지 아껴뒀다가 상에 올리는 법이거든.,Who knows. The tastiest prey is always saved for the very end before being served.,Qui sait. Les meilleures proies sont toujours gardées jusqu'à la toute fin avant d'être servies.,Chissà. Le prede più gustose vengono sempre conservate fino alla fine prima di essere servite.,Wer weiß. Die leckerste Beute hebt man sich immer bis zum Schluss auf.,Quién sabe. Las presas más deliciosas siempre se reservan para el final.,さあな。一番美味い獲物ほど最後まで取っておくものだからな。,Quem sabe. As presas mais saborosas sempre são guardadas até o fim.,Кто знает. Самую вкусную добычу всегда оставляют напоследок.,"谁知道呢。越是美味的猎物, 越会被留到最后端上桌。"
p,먹잇감? 상? 쿠로 아저씨는 정말 알 수 없는 말만 하시네요!,"Prey? Served? Mr. Kuro, you really say the strangest things!","Une proie ? Servie ? Monsieur Kuro, vous dites vraiment des choses incompréhensibles !","Preda? Servita? Signor Kuro, lei dice davvero cose incomprensibili!","Beute? Servieren? Herr Kuro, Sie reden wirklich seltsames Zeug!","¿Presa? ¿Servida? ¡Señor Kuro, usted sí que dice cosas rarísimas!",獲物？食卓？クロウさんって本当に変なことばかり言いますね！,"Presa? Servida? Senhor Kuro, você fala cada coisa estranha!","Добыча? На стол? Мистер Куро, вы говорите такие странные вещи!",猎物？上桌？库洛先生你说的话真让人听不懂！
c,"후후, 언젠가 진실을 알게 되면 그때 다시 얘기하자고.","Heh heh, when you learn the truth someday, we'll talk again then.","Héhé, quand tu découvriras la vérité un jour, nous reparlerons.","Hah, quando scoprirai la verità, ne riparleremo.","Hehe, wenn du eines Tages die Wahrheit erfährst, reden wir nochmal darüber.","Jeje, cuando descubras la verdad algún día, hablaremos otra vez.",フフ、いつか真実を知った時にまた話そうじゃないか。,"Hehe, quando descobrir a verdade um dia, conversaremos de novo.","Хе-хе, когда однажды узнаешь правду, тогда и поговорим снова.","呵呵, 等你哪天知道真相了, 我们再聊吧。"
T,**,**,**,**,**,**,**,**,**,**




T,********************************************10. 마을에서 쿠로와의 대화*******************************************
p,쿠로 아저씨! 우리 마을에 온 걸 환영해요.,Mr. Kuro! Welcome to our village.,Monsieur Kuro ! Bienvenue dans notre village.,Signor Kuro! Benvenuto nel nostro villaggio.,Herr Kuro! Willkommen in unserem Dorf.,¡Señor Kuro! Bienvenido a nuestro pueblo.,クロウさん！僕たちの村へようこそ。,Senhor Kuro! Bem-vindo à nossa vila.,Мистер Куро! Добро пожаловать в нашу деревню.,库洛先生！欢迎来到我们的村子。
p,여기라면 아저씨가 쉬기 편할 거예요. 제가 근사한 둥지를 지어줄게요!,You should be able to rest comfortably here. I'll build you an awesome nest!,Vous pourrez vous reposer confortablement ici. Je vais vous construire un superbe nid !,Qui potrai riposarti comodamente. Ti costruirò un nido fantastico!,Hier kannst du dich bequem ausruhen. Ich baue dir ein großartiges Nest!,Aquí podrá descansar cómodamente. ¡Le construiré un nido increíble!,ここならゆっくり休めますよ。僕が立派な巣を作ってあげます！,Aqui você poderá descansar tranquilamente. Vou construir um ótimo ninho para você!,Здесь вам будет удобно отдыхать. Я построю вам отличное гнездо!,这里很适合休息。我会给您建一个超棒的巢！
c,"(높은 곳을 올려다보며) 그래, 높은 곳에 둥지가 있어야 물건들도 안전하니까.","(Looking up high) Yes, a nest needs to be high up so the goods stay safe.","(Regardant vers les hauteurs) Oui, un nid doit être en hauteur pour que les marchandises restent en sécurité.","(Guardando verso l'alto) Giusto, il nido deve stare in alto così gli oggetti saranno al sicuro.","(Blickt nach oben) Ja, ein Nest muss hoch oben sein, damit die Waren sicher bleiben.","(Mirando hacia lo alto) Sí, un nido debe estar en un lugar alto para mantener las mercancías seguras.",（高い場所を見上げながら）ああ、高い場所に巣がないと荷物も安全じゃないからな。,"(Olhando para o alto) Sim, um ninho precisa ficar em um lugar alto para manter os itens seguros.","(Глядя вверх) Да, гнездо должно быть повыше, чтобы вещи были в безопасности.","（抬头看向高处）没错, 巢得建在高处, 东西才安全。"
c,내가 모은 보따리들을 풀어둘 곳이 필요하긴 했어.,I did need a place to unpack all the bundles I've collected.,J'avais justement besoin d'un endroit pour déballer tous les paquets que j'ai rassemblés.,In effetti avevo bisogno di un posto dove sistemare tutti i fagotti che ho raccolto.,"Ich brauchte tatsächlich einen Ort, um meine gesammelten Bündel auszupacken.",La verdad es que necesitaba un lugar donde dejar todos los paquetes que he reunido.,集めた荷物を広げておく場所が欲しかったところだ。,Eu realmente precisava de um lugar para guardar todos os pacotes que reuni.,"Мне как раз нужно было место, чтобы разложить все собранные свёртки.",我正好需要个地方放下我收集来的包裹。
p,"보따리요? 아, 광산에서 본 그 반짝이는 것들 말씀이세요?","Bundles? Oh, do you mean those shiny things I saw in the mine?","Des paquets ? Oh, vous parlez des objets brillants que j'ai vus dans la mine ?","Pacchi? Ah, intendi quelle cose luccicanti che ho visto nella miniera?","Bündel? Oh, meinst du die glänzenden Dinge, die ich in der Mine gesehen habe?","¿Paquetes? Ah, ¿se refiere a esas cosas brillantes que vi en la mina?",荷物ですか？ああ、鉱山で見たあのキラキラした物のことですか？,"Pacotes? Ah, você quer dizer aquelas coisas brilhantes que vi na mina?","Свёртки? А, вы про те блестящие штуки, что я видел в шахте?","包裹吗？啊, 是指我在矿山里看到的那些闪闪发亮的东西吗？"
c,그렇지. 이 마을 저 마을 돌아다니며 바꾼 귀한 물건들이 많거든.,Exactly. I've traded for many valuable items while traveling from village to village.,Exactement. J'ai obtenu de nombreux objets précieux en voyageant de village en village.,Esatto. Ho ottenuto molti oggetti preziosi viaggiando di villaggio in villaggio.,Genau. Ich habe auf meinen Reisen von Dorf zu Dorf viele wertvolle Dinge ertauscht.,Exacto. He conseguido muchos objetos valiosos viajando de pueblo en pueblo.,そうだ。村から村へ渡り歩いて、色んな貴重な品を交換してきたからな。,Exatamente. Consegui muitos itens valiosos viajando de vila em vila.,"Именно. Я выменял множество ценных вещей, путешествуя по деревням.","没错。我在各个村庄之间游走, 换来了不少珍贵的东西。"
p,"와, 그럼 저도 그 물건들을 가질 수 있는 거예요?","Wow, does that mean I can have those items too?","Waouh, ça veut dire que je peux avoir ces objets aussi ?","Wow, quindi anch'io posso avere quegli oggetti?","Wow, heißt das, ich kann diese Sachen auch bekommen?",¡Guau! ¿Entonces yo también puedo conseguir esos objetos?,わあ、それじゃ僕もその品物をもらえるんですか？,"Uau, então eu também posso conseguir esses itens?","Ого, значит я тоже смогу получить эти вещи?","哇, 那我也能得到那些东西吗？"
c,"공짜는 없어, 꼬마야. 네가 광산에서 캐온 광석들을 가져오라고.","Nothing is free, kid. Bring me the ores you've mined from the cave.","Rien n'est gratuit, petit. Apporte-moi les minerais que tu as extraits de la mine.","Niente è gratis, ragazzino. Portami i minerali che hai scavato nella miniera.","Nichts ist umsonst, Kleiner. Bring mir die Erze, die du aus der Mine holst.","Nada es gratis, chico. Tráeme los minerales que saques de la mina.",タダってわけにはいかないぞ、坊や。鉱山で掘った鉱石を持ってこい。,"Nada é de graça, garoto. Traga os minérios que você minerar da mina.","Ничего бесплатного, мальчик. Приноси руду, которую добудешь в шахте.","天下没有免费的东西, 小鬼。把你从矿山里挖来的矿石带过来吧。"
c,"반짝이는 광석을 주면, 내 둥지에 있는 다른 물건들과 바꿔주지.","Bring me shiny ores, and I'll trade them for the other items in my nest.",Apporte-moi des minerais brillants et je les échangerai contre les objets de mon nid.,Portami minerali luccicanti e li scambierò con gli oggetti del mio nido.,"Bring mir glänzende Erze, dann tausche ich sie gegen die Dinge in meinem Nest.",Tráeme minerales brillantes y los cambiaré por los objetos de mi nido.,キラキラした鉱石を持ってくれば、俺の巣にある品と交換してやろう。,Traga minérios brilhantes e eu os trocarei pelos itens do meu ninho.,"Принеси блестящую руду, и я обменяю её на вещи из моего гнезда.","只要拿来闪亮的矿石, 我就会用巢里的其他东西和你交换。"
p,물물교환이구나! 알겠어요. 제가 광석을 잔뜩 모아올게요!,So it's bartering! Got it. I'll gather tons of ores for you!,Donc c'est du troc ! Compris. Je vais ramener plein de minerais !,Quindi è un baratto! Ho capito. Ti porterò un sacco di minerali!,Also Tauschhandel! Verstanden. Ich bringe dir jede Menge Erze!,¡Así que es trueque! Entendido. ¡Traeré montones de minerales!,物々交換なんですね！わかりました。鉱石をたくさん集めてきます！,Então é troca! Entendi. Vou reunir muitos minérios!,"Значит, это бартер! Понял. Я принесу много руды!",原来是以物易物啊！我明白了。我会带很多矿石过来的！
c,"후후, 좋아. 마을 사람들이 널 광산으로 등 떠미는 보람이 있겠어.","Heh heh, good. The villagers must feel rewarded for pushing you into the mine.","Héhé, très bien. Les villageois doivent être satisfaits de t'envoyer dans la mine.","Heh heh, bene. Gli abitanti del villaggio devono essere soddisfatti di spingerti nella miniera.","Hehe, gut. Die Dorfbewohner haben wohl ihren Nutzen davon, dich in die Mine zu schicken.","Jeje, bien. Los aldeanos deben sentirse recompensados por empujarte a la mina.",フフ、いいだろう。村の連中もお前を鉱山へ送り込む甲斐があるってものだ。,"Hehe, ótimo. Os moradores da vila devem achar que vale a pena empurrar você para a mina.","Хе-хе, хорошо. Жители деревни, должно быть, довольны тем, что отправляют тебя в шахту.","呵呵, 不错。村里人把你赶去矿山也算值得了。"
p,네? 다들 제가 하고 싶어 하는 일이라 도와주시는 건데요?,Huh? They're just helping me because it's what I love doing.,Hein ? Ils m'aident simplement parce que c'est ce que j'aime faire.,Eh? Mi aiutano soltanto perché è quello che mi piace fare.,"Hä? Sie helfen mir doch nur, weil ich das gerne mache.",¿Eh? Solo me ayudan porque es lo que más me gusta hacer.,え？みんな、僕がやりたくてやってるから手伝ってくれてるんですよ？,Hã? Eles só estão me ajudando porque eu gosto de fazer isso.,"А? Они просто помогают мне, потому что мне самому это нравится.",诶？大家只是因为我喜欢做这件事才帮我的啊？
c,"뭐, 그렇다고 치자고. 얼른 둥지나 지어줘. 날개가 근질거리니까.","Well, let's go with that. Now hurry up and build my nest. My wings are getting itchy.","Bon, disons que c'est ça. Dépêche-toi de construire mon nid. Mes ailes me démangent.","Beh, facciamo finta che sia così. Ora sbrigati a costruire il mio nido. Le ali mi prudono.","Na gut, sagen wir einfach, dass es so ist. Bau jetzt mein Nest, meine Flügel jucken schon.","Bueno, digamos que sí. Ahora date prisa y construye mi nido. Me pican las alas.",まあ、そういうことにしておこう。さっさと巣を作ってくれ。羽がうずくんでな。,"Bom, vamos fingir que é isso. Agora ande logo e construa meu ninho. Minhas asas estão coçando.","Ну, пусть будет так. А теперь поторопись и построй мне гнездо. Крылья уже чешутся.","好吧, 就当是那样好了。赶紧给我把巢建好吧, 我的翅膀已经痒得不行了。"
T,**,**,**,**,**,**,**,**,**,**





T,********************************************11. 루나 구조*******************************************
p,루나 누나! 괜찮아요?,Luna! Are you okay?,Luna ! Tu vas bien ?,Luna! Stai bene?,Luna! Geht es dir gut?,¡Luna! ¿Estás bien?,ルナ姉ちゃん！大丈夫？,Luna! Você está bem?,Луна! Ты в порядке?,露娜姐姐！你没事吧？
p,광산 깊은 곳까지 조사하러 오셨다가 갇히신 거예요?,Did you come all the way down here to investigate and get trapped?,Tu es venue jusqu'au fond de la mine pour enquêter et tu t'es retrouvée coincée ?,Sei venuta fin qui in fondo alla miniera per indagare e sei rimasta intrappolata?,"Bist du bis tief in die Mine gekommen, um Nachforschungen anzustellen, und wurdest eingeschlossen?",¿Viniste hasta lo más profundo de la mina para investigar y terminaste atrapada?,鉱山の奥まで調査に来て、閉じ込められちゃったんですか？,Você veio até o fundo da mina para investigar e acabou presa?,Ты пришла исследовать глубины шахты и оказалась в ловушке?,"你是为了调查矿山深处才来到这里, 然后被困住了吗？"
l,(차분하게 먼지를 털며 일어난다) 지층 조사가 생각보다 길어졌나 보군요.,(Calmly dusts herself off as she stands up) It seems the geological survey took longer than expected.,(Se relève calmement en retirant la poussière) L'étude des couches géologiques a pris plus de temps que prévu.,(Si rialza con calma spolverandosi) A quanto pare l'indagine sugli strati geologici ha richiesto più tempo del previsto.,(Steht ruhig auf und klopft den Staub ab) Offenbar hat die Untersuchung der Erdschichten länger gedauert als erwartet.,(Se levanta tranquilamente sacudiéndose el polvo) Parece que el estudio de los estratos tomó más tiempo de lo esperado.,（落ち着いて埃を払いながら立ち上がる）地層調査が思ったより長引いてしまったみたいですね。,(Levanta-se calmamente enquanto tira a poeira) Parece que a pesquisa geológica demorou mais do que eu esperava.,"(Спокойно поднимается, стряхивая пыль) Похоже, исследование слоёв породы затянулось дольше, чем ожидалось.",（冷静地拍掉身上的灰尘站起身）看来地层调查比预想中花了更长时间。
l,"고마워요, 피코. 여기까지 올 줄은 몰랐는데 정말 대단하네요.","Thank you, Pico. I didn't expect you to come all the way here. That's really impressive.","Merci, Pico. Je ne pensais pas que tu viendrais jusqu'ici. C'est vraiment impressionnant.","Grazie, Pico. Non pensavo saresti arrivato fin qui. È davvero impressionante.","Danke, Pico. Ich hätte nicht erwartet, dass du es bis hierher schaffst. Wirklich beeindruckend.","Gracias, Pico. No pensé que llegarías hasta aquí. Es realmente impresionante.",ありがとう、ピコ。ここまで来るなんて思っていませんでした。本当にすごいですね。,"Obrigada, Pico. Eu não esperava que você viesse até aqui. Isso é realmente impressionante.","Спасибо, Пико. Я не думала, что ты доберёшься сюда. Это действительно впечатляет.","谢谢你, 皮科。我没想到你居然能来到这里, 真是了不起。"
